date,campaign_id,impressions,clicks,spend,conversions,revenue
2026-02-25,cmp_004,4551,159,186.42,4,288.34
2026-02-25,cmp_005,3373,78,14.47,4,255.24
2026-02-25,cmp_006,3978,61,11.70,1,69.49
2026-02-25,cmp_007,4609,32,6.17,1,93.40
2026-02-25,cmp_008,4739,73,15.72,4,373.78
2026-02-26,cmp_001,3820,149,184.62,6,462.47
2026-02-26,cmp_002,5014,167,225.90,4,233.46
2026-02-26,cmp_003,3811,136,163.65,4,279.25
2026-02-26,cmp_004,4911,159,190.74,5,465.04
2026-02-26,cmp_005,4973,85,15.29,4,246.47
2026-02-26,cmp_006,4721,80,14.77,3,215.51
2026-02-26,cmp_007,4548,109,20.94,3,217.39
2026-02-26,cmp_008,4336,60,11.98,3,197.97
2026-02-27,cmp_001,4534,190,265.01,6,473.21
2026-02-27,cmp_002,4840,183,260.75,6,336.19
2026-02-27,cmp_003,3937,159,195.73,8,507.11
2026-02-27,cmp_004,4278,120,128.15,6,387.23
2026-02-27,cmp_005,5258,112,22.44,3,170.24
2026-02-27,cmp_006,5416,89,17.48,3,194.40
2026-02-27,cmp_007,4902,94,20.75,2,147.51
2026-02-27,cmp_008,3989,58,10.84,2,158.04
2026-02-28,cmp_001,4220,156,190.48,6,407.65
2026-02-28,cmp_002,4536,166,239.92,7,602.85
2026-02-28,cmp_003,4147,133,151.05,5,437.83
2026-02-28,cmp_004,5081,187,202.28,6,543.80
2026-02-28,cmp_005,5099,73,13.89,2,118.28
2026-02-28,cmp_006,4415,65,11.74,3,200.14
2026-02-28,cmp_007,3931,94,21.81,4,378.02
2026-02-28,cmp_008,4824,104,21.95,5,412.80
2026-03-01,cmp_001,5213,195,310.20,6,469.26
2026-03-01,cmp_002,5064,187,268.90,6,495.19
2026-03-01,cmp_003,5089,112,126.80,5,417.58
2026-03-01,cmp_004,3971,151,176.12,7,416.65
2026-03-01,cmp_005,3846,54,10.99,2,184.01
2026-03-01,cmp_006,3350,34,6.39,1,74.72
2026-03-01,cmp_007,5098,113,23.88,3,216.31
2026-03-01,cmp_008,4401,89,18.93,4,267.84
2026-03-02,cmp_001,4734,155,227.96,7,649.95
2026-03-02,cmp_002,4632,167,266.98,4,319.28
2026-03-02,cmp_003,3772,119,126.93,4,371.80
2026-03-02,cmp_004,3711,110,119.58,3,219.17
2026-03-02,cmp_005,3835,49,11.90,2,186.01
2026-03-02,cmp_006,3940,51,9.92,1,60.21
2026-03-02,cmp_007,4653,63,12.76,2,160.97
2026-03-02,cmp_008,4692,55,11.44,2,125.82
2026-03-03,cmp_001,5354,178,280.96,6,558.12
2026-03-03,cmp_002,3770,135,175.21,6,427.40
2026-03-03,cmp_003,5033,208,215.32,9,715.89
2026-03-03,cmp_004,4278,154,189.91,6,470.22
2026-03-03,cmp_005,5065,124,25.72,4,244.60
2026-03-03,cmp_006,5227,26,5.10,0,0.00
2026-03-03,cmp_007,3991,67,12.56,2,121.43
2026-03-03,cmp_008,4821,97,20.50,3,261.66
2026-03-04,cmp_001,4962,132,188.29,3,240.54
2026-03-04,cmp_002,3369,157,227.59,5,428.16
2026-03-04,cmp_003,3800,119,135.85,4,369.05
2026-03-04,cmp_004,4547,149,185.04,5,299.34
2026-03-04,cmp_005,4768,113,23.91,3,172.96
2026-03-04,cmp_006,4906,58,9.76,1,93.83
2026-03-04,cmp_007,3588,78,16.94,4,316.54
2026-03-04,cmp_008,4039,68,14.20,2,184.22
2026-03-05,cmp_001,4430,138,225.93,3,205.55
2026-03-05,cmp_002,5086,212,325.93,9,797.57
2026-03-05,cmp_003,5767,231,229.43,9,821.98
2026-03-05,cmp_004,5143,222,244.23,8,735.83
2026-03-05,cmp_005,4671,116,22.01,3,185.22
2026-03-05,cmp_006,4845,79,12.49,3,193.86
2026-03-05,cmp_007,4679,117,24.43,5,407.03
2026-03-05,cmp_008,5447,68,13.81,1,74.62
2026-03-06,cmp_001,5978,181,281.34,9,527.50
2026-03-06,cmp_002,5407,159,225.11,6,536.83
2026-03-06,cmp_003,3258,132,155.88,3,171.32
2026-03-06,cmp_004,4201,162,176.55,4,279.55
2026-03-06,cmp_005,4127,84,16.13,4,309.05
2026-03-06,cmp_006,3488,110,21.21,3,217.39
2026-03-06,cmp_007,5526,80,15.54,4,342.68
2026-03-06,cmp_008,3456,42,8.81,1,75.10
2026-03-07,cmp_001,5218,187,283.63,6,334.43
2026-03-07,cmp_002,4378,153,213.96,5,366.75
2026-03-07,cmp_003,5360,149,154.57,4,262.70
2026-03-07,cmp_004,4749,180,202.41,9,726.48
2026-03-07,cmp_005,4136,113,22.07,5,382.12
2026-03-07,cmp_006,4142,97,17.73,3,195.77
2026-03-07,cmp_007,3618,85,17.54,4,244.61
2026-03-07,cmp_008,3537,61,12.36,2,141.85
2026-03-08,cmp_001,5096,214,319.53,5,347.67
2026-03-08,cmp_002,4794,127,195.23,6,544.96
2026-03-08,cmp_003,3983,142,148.37,5,403.21
2026-03-08,cmp_004,3698,122,142.21,5,466.13
2026-03-08,cmp_005,5043,80,17.14,2,169.83
2026-03-08,cmp_006,4977,113,25.65,4,232.64
2026-03-08,cmp_007,5213,35,6.87,1,73.69
2026-03-08,cmp_008,6737,71,15.78,2,187.05
2026-03-09,cmp_001,4781,209,285.12,7,661.88
2026-03-09,cmp_002,4312,152,229.53,6,438.71
2026-03-09,cmp_003,4103,141,172.30,4,321.47
2026-03-09,cmp_004,4865,143,144.73,5,349.14
2026-03-09,cmp_005,4790,114,22.72,4,295.74
2026-03-09,cmp_006,4322,80,14.47,4,355.33
2026-03-09,cmp_007,4361,91,16.78,3,189.86
2026-03-09,cmp_008,4767,69,15.20,2,152.26
2026-03-10,cmp_001,4002,111,153.86,4,336.67
2026-03-10,cmp_002,4635,171,224.88,8,709.75
2026-03-10,cmp_003,4870,202,201.12,7,412.74
2026-03-10,cmp_004,4516,164,162.51,8,457.22
2026-03-10,cmp_005,3939,52,9.59,2,125.88
2026-03-10,cmp_006,4089,38,6.88,1,94.09
2026-03-10,cmp_007,5179,108,22.53,5,296.03
2026-03-10,cmp_008,4179,109,18.86,3,199.99
2026-03-11,cmp_001,4161,137,192.25,7,644.52
2026-03-11,cmp_002,5566,224,374.81,10,753.46
2026-03-11,cmp_003,5681,167,169.67,7,408.02
2026-03-11,cmp_004,4041,148,163.47,7,504.72
2026-03-11,cmp_005,4691,85,17.81,2,174.80
2026-03-11,cmp_006,3523,86,17.63,3,233.01
2026-03-11,cmp_007,3908,80,16.40,3,243.97
2026-03-11,cmp_008,3620,90,21.53,4,251.13
2026-03-12,cmp_001,4497,139,218.72,7,419.14
2026-03-12,cmp_002,4580,114,180.02,5,323.36
2026-03-12,cmp_003,4369,134,131.65,6,439.65
2026-03-12,cmp_004,5135,239,240.91,11,658.36
2026-03-12,cmp_005,3895,76,13.70,3,221.64
2026-03-12,cmp_006,3686,72,15.11,2,165.92
2026-03-12,cmp_007,3239,26,4.57,0,0.00
2026-03-12,cmp_008,5243,63,12.67,2,145.38
2026-03-13,cmp_001,4728,201,297.53,7,434.86
2026-03-13,cmp_002,4767,203,299.40,8,739.13
2026-03-13,cmp_003,4154,138,134.87,3,261.10
2026-03-13,cmp_004,3880,136,124.34,5,320.55
2026-03-13,cmp_005,4562,46,8.63,2,183.93
2026-03-13,cmp_006,4372,103,21.07,4,289.28
2026-03-13,cmp_007,3989,65,13.07,2,135.97
2026-03-13,cmp_008,5014,69,14.17,3,167.07
2026-03-14,cmp_001,4724,210,336.46,10,657.25
2026-03-14,cmp_002,4977,156,242.93,4,284.96
2026-03-14,cmp_003,3675,131,157.13,6,371.75
2026-03-14,cmp_004,5360,202,242.49,8,722.88
2026-03-14,cmp_005,4008,57,12.39,2,135.78
2026-03-14,cmp_006,4297,99,19.89,2,117.80
2026-03-14,cmp_007,3166,66,13.41,1,69.31
2026-03-14,cmp_008,3460,47,10.89,2,183.99
2026-03-15,cmp_001,5012,209,282.50,5,403.43
2026-03-15,cmp_002,5569,158,227.71,8,752.05
2026-03-15,cmp_003,4612,221,229.45,8,618.78
2026-03-15,cmp_004,5213,251,258.03,11,647.63
2026-03-15,cmp_005,5306,66,12.23,2,178.47
2026-03-15,cmp_006,3643,78,13.61,3,210.31
2026-03-15,cmp_007,3856,19,4.11,0,0.00
2026-03-15,cmp_008,4219,106,20.98,4,352.93
2026-03-16,cmp_001,4103,146,205.24,5,372.22
2026-03-16,cmp_002,4371,152,219.15,6,465.09
2026-03-16,cmp_003,3585,86,91.63,2,113.99
2026-03-16,cmp_004,4127,124,138.46,3,236.29
2026-03-16,cmp_005,2737,53,11.15,1,91.09
2026-03-16,cmp_006,4313,102,22.13,2,159.10
2026-03-16,cmp_007,4725,94,16.39,4,293.31
2026-03-16,cmp_008,4716,120,20.05,5,283.83
2026-03-17,cmp_001,4621,197,281.59,6,496.67
2026-03-17,cmp_002,3912,144,176.05,7,458.49
2026-03-17,cmp_003,3707,143,156.43,7,478.29
2026-03-17,cmp_004,5105,212,223.43,10,775.57
2026-03-17,cmp_005,4434,75,15.60,3,196.43
2026-03-17,cmp_006,4366,61,11.76,2,110.70
2026-03-17,cmp_007,3979,86,16.58,2,149.98
2026-03-17,cmp_008,3900,70,14.20,2,166.88
2026-03-18,cmp_001,5569,197,279.86,6,422.55
2026-03-18,cmp_002,5465,187,238.25,5,436.25
2026-03-18,cmp_003,4542,147,151.00,6,346.81
2026-03-18,cmp_004,4799,175,211.67,4,226.82
2026-03-18,cmp_005,4585,58,12.72,3,221.15
2026-03-18,cmp_006,5275,74,14.71,2,189.40
2026-03-18,cmp_007,3049,56,10.68,2,187.57
2026-03-18,cmp_008,4865,64,12.61,3,264.12
2026-03-19,cmp_001,4577,173,256.41,6,541.79
2026-03-19,cmp_002,4086,147,206.57,6,522.87
2026-03-19,cmp_003,4901,202,208.89,6,469.87
2026-03-19,cmp_004,4007,168,191.52,7,586.50
2026-03-19,cmp_005,5788,105,21.63,4,285.33
2026-03-19,cmp_006,4802,121,23.22,3,223.21
2026-03-19,cmp_007,4441,104,22.55,4,346.89
2026-03-19,cmp_008,6236,150,31.44,7,409.44
2026-03-20,cmp_001,4049,113,130.93,3,248.10
2026-03-20,cmp_002,3675,131,185.05,3,169.48
2026-03-20,cmp_003,4750,189,196.63,8,669.17
2026-03-20,cmp_004,5085,169,181.63,5,282.23
2026-03-20,cmp_005,4155,79,16.15,3,263.63
2026-03-20,cmp_006,4738,105,20.82,2,185.56
2026-03-20,cmp_007,3117,61,12.15,2,168.22
2026-03-20,cmp_008,3873,51,9.54,2,130.51
2026-03-21,cmp_001,4085,148,225.14,6,448.97
2026-03-21,cmp_002,3338,127,181.17,4,267.82
2026-03-21,cmp_003,5480,213,227.78,6,456.37
2026-03-21,cmp_004,5219,162,192.48,7,586.51
2026-03-21,cmp_005,4638,127,23.69,4,249.28
2026-03-21,cmp_006,4650,50,10.70,1,93.08
2026-03-21,cmp_007,5333,93,18.77,2,154.50
2026-03-21,cmp_008,4377,51,10.23,2,114.68
2026-03-22,cmp_001,4361,139,238.61,3,199.90
2026-03-22,cmp_002,3895,129,176.10,5,339.54
2026-03-22,cmp_003,3410,119,118.56,3,203.71
2026-03-22,cmp_004,3565,139,174.27,6,420.56
2026-03-22,cmp_005,4260,94,18.58,4,274.18
2026-03-22,cmp_006,5183,75,15.93,3,192.67
2026-03-22,cmp_007,3458,110,21.74,5,402.22
2026-03-22,cmp_008,4645,64,12.77,3,174.41
2026-03-23,cmp_001,4918,173,249.23,5,325.24
2026-03-23,cmp_002,4517,149,199.81,5,436.74
2026-03-23,cmp_003,5712,189,209.84,9,756.73
2026-03-23,cmp_004,4907,144,168.86,4,226.77
2026-03-23,cmp_005,4744,76,16.48,3,169.33
2026-03-23,cmp_006,4500,66,12.96,2,140.50
2026-03-23,cmp_007,4505,94,18.25,3,275.31
2026-03-23,cmp_008,3830,67,12.14,2,143.52
2026-03-24,cmp_001,4370,127,191.58,3,214.08
2026-03-24,cmp_002,4971,136,210.14,6,555.94
2026-03-24,cmp_003,5772,177,191.56,5,466.05
2026-03-24,cmp_004,5428,266,318.45,6,457.61
2026-03-24,cmp_005,4353,67,14.71,2,120.78
2026-03-24,cmp_006,3237,45,8.86,1,91.46
2026-03-24,cmp_007,3617,74,14.77,3,228.39
2026-03-24,cmp_008,3688,85,15.75,4,334.94
2026-03-25,cmp_001,4890,198,306.27,8,632.86
2026-03-25,cmp_002,3587,74,104.78,3,237.21
2026-03-25,cmp_003,4771,170,200.62,7,601.88
2026-03-25,cmp_004,5030,203,251.97,7,561.38
2026-03-25,cmp_005,3551,69,13.43,2,123.24
2026-03-25,cmp_006,4803,86,14.21,4,341.32
2026-03-25,cmp_007,3349,95,18.41,4,252.51
2026-03-25,cmp_008,5050,99,21.39,2,135.13
2026-03-26,cmp_001,3894,105,129.48,3,277.03
2026-03-26,cmp_002,4468,133,188.89,5,372.20
2026-03-26,cmp_003,4244,129,147.55,4,379.14
2026-03-26,cmp_004,3995,155,168.39,6,377.63
2026-03-26,cmp_005,4762,112,21.95,2,137.79
2026-03-26,cmp_006,4267,64,13.55,3,180.64
2026-03-26,cmp_007,3994,61,11.14,2,118.39
2026-03-26,cmp_008,4086,65,11.88,3,266.07
2026-03-27,cmp_001,5087,162,211.72,5,357.39
2026-03-27,cmp_002,5001,135,185.69,3,225.76
2026-03-27,cmp_003,4203,154,169.30,4,238.13
2026-03-27,cmp_004,4983,152,166.07,6,386.14
2026-03-27,cmp_005,5072,121,23.75,3,175.14
2026-03-27,cmp_006,4586,65,12.46,2,145.87
2026-03-27,cmp_007,5323,82,17.68,2,151.07
2026-03-27,cmp_008,4830,101,18.34,4,246.81
2026-03-28,cmp_001,4119,188,275.06,8,630.82
2026-03-28,cmp_002,4795,189,265.28,5,400.06
2026-03-28,cmp_003,3800,153,171.70,6,475.10
2026-03-28,cmp_004,5974,208,247.92,5,407.38
2026-03-28,cmp_005,4671,56,10.68,2,115.29
2026-03-28,cmp_006,4032,76,15.54,4,249.94
2026-03-28,cmp_007,4814,74,15.52,2,129.15
2026-03-28,cmp_008,4058,90,14.20,2,124.87
2026-03-29,cmp_001,3637,118,176.89,4,250.07
2026-03-29,cmp_002,5067,164,241.72,8,587.07
2026-03-29,cmp_003,5410,187,211.21,7,505.56
2026-03-29,cmp_004,5355,211,202.42,11,917.49
2026-03-29,cmp_005,4984,123,25.21,5,440.88
2026-03-29,cmp_006,2806,36,7.60,1,74.95
2026-03-29,cmp_007,5492,75,14.03,2,122.53
2026-03-29,cmp_008,5108,108,21.83,4,351.22
2026-03-30,cmp_001,4000,149,211.94,8,462.88
2026-03-30,cmp_002,4320,170,267.52,6,489.66
2026-03-30,cmp_003,4351,138,136.88,6,364.80
2026-03-30,cmp_004,4861,175,195.78,9,677.46
2026-03-30,cmp_005,3879,78,16.18,2,168.23
2026-03-30,cmp_006,3999,80,16.69,2,189.71
2026-03-30,cmp_007,4334,51,9.78,1,94.92
2026-03-30,cmp_008,4914,110,22.74,5,448.04
2026-03-31,cmp_001,3528,128,178.45,5,400.57
2026-03-31,cmp_002,3810,109,139.45,4,225.41
2026-03-31,cmp_003,4817,170,197.20,5,320.28
2026-03-31,cmp_004,4438,176,185.86,5,453.29
2026-03-31,cmp_005,4799,80,17.56,2,176.93
2026-03-31,cmp_006,4665,69,13.17,3,266.82
2026-03-31,cmp_007,4534,79,16.98,3,174.58
2026-03-31,cmp_008,4512,62,14.48,2,140.00
2026-04-01,cmp_001,5461,183,271.74,6,398.63
2026-04-01,cmp_002,5353,216,323.51,11,695.11
2026-04-01,cmp_003,3272,136,150.90,5,361.17
2026-04-01,cmp_004,4898,150,176.69,7,551.57
2026-04-01,cmp_005,5313,122,26.98,5,321.79
2026-04-01,cmp_006,4551,89,18.06,4,233.57
2026-04-01,cmp_007,3544,59,11.21,3,180.78
2026-04-01,cmp_008,4879,119,25.00,5,449.22
2026-04-02,cmp_001,3123,116,192.16,6,538.38
2026-04-02,cmp_002,4804,160,231.51,4,278.64
2026-04-02,cmp_003,5368,171,176.95,5,474.54
2026-04-02,cmp_004,4742,158,200.13,5,434.57
2026-04-02,cmp_005,3588,87,16.59,3,186.42
2026-04-02,cmp_006,2961,18,3.59,0,0.00
2026-04-02,cmp_007,4771,74,12.87,2,158.37
2026-04-02,cmp_008,4469,38,7.11,1,78.46
2026-04-03,cmp_001,4517,164,250.65,7,609.31
2026-04-03,cmp_002,5157,149,200.56,8,560.19
2026-04-03,cmp_003,4469,164,179.28,8,598.86
2026-04-03,cmp_004,3729,147,151.48,5,343.54
2026-04-03,cmp_005,2345,35,7.05,1,92.00
2026-04-03,cmp_006,3840,71,12.16,1,58.25
2026-04-03,cmp_007,5352,151,34.56,6,366.65
2026-04-03,cmp_008,5045,68,13.67,2,187.67
2026-04-04,cmp_001,3090,108,150.99,5,459.14
2026-04-04,cmp_002,4473,126,162.18,6,449.93
