customer_id,signup_date,country,city,age_group,device_type,acquisition_channel,customer_segment
cus_0000031,2026-01-23,India,Delhi,25-34,Android,Google Ads,Occasional
cus_0000032,2025-06-30,India,Mumbai,35-44,Desktop,Organic Search,Loyal
cus_0000033,2025-06-08,India,Bengaluru,45-54,Desktop,Google Ads,Occasional
cus_0000034,2025-10-16,United States,Austin,25-34,Android,Google Ads,High Value
cus_0000035,2025-06-29,United States,Chicago,25-34,Android,Email,Loyal
cus_0000036,2025-07-29,India,Hyderabad,25-34,Android,Organic Search,Loyal
cus_0000037,2025-11-05,United States,San Francisco,35-44,Desktop,Direct,Occasional
cus_0000038,2025-04-16,United States,San Francisco,25-34,iOS,Meta Ads,Occasional
cus_0000039,2025-12-12,Singapore,Singapore,18-24,Android,Meta Ads,Occasional
cus_0000040,2025-04-22,India,Hyderabad,35-44,iOS,Organic Search,Occasional
cus_0000041,2025-12-03,India,Bengaluru,18-24,iOS,Organic Search,Loyal
cus_0000042,2025-12-09,India,Delhi,45-54,Android,Email,Loyal
cus_0000043,2025-08-14,India,Delhi,18-24,Desktop,Referral,Occasional
cus_0000044,2025-08-23,India,Mumbai,55+,Android,Google Ads,Occasional
cus_0000045,2025-05-09,Germany,Berlin,25-34,Android,Referral,New
cus_0000046,2025-06-02,India,Delhi,18-24,Desktop,Direct,Occasional
cus_0000047,2025-06-02,United States,Austin,35-44,Android,Google Ads,Loyal
cus_0000048,2025-09-12,India,Delhi,55+,Desktop,Organic Search,Loyal
cus_0000049,2025-09-16,United States,Chicago,18-24,iOS,Referral,Occasional
cus_0000050,2025-04-22,United States,Austin,45-54,Android,Google Ads,Loyal
cus_0000051,2025-07-12,India,Mumbai,25-34,Desktop,Organic Search,Occasional
cus_0000052,2025-08-06,United States,Austin,25-34,Desktop,Organic Search,Loyal
cus_0000053,2025-09-25,Germany,Hamburg,55+,iOS,Meta Ads,Occasional
cus_0000054,2025-05-29,United Kingdom,London,25-34,iOS,Email,Loyal
cus_0000055,2026-01-22,India,Mumbai,18-24,iOS,Direct,High Value
cus_0000056,2025-12-20,India,Delhi,25-34,Desktop,Organic Search,Loyal
cus_0000057,2025-10-28,India,Hyderabad,35-44,Desktop,Organic Search,New
cus_0000058,2025-08-23,United States,New York,35-44,Android,Direct,Loyal
cus_0000059,2025-10-30,United Kingdom,Bristol,55+,iOS,Organic Search,Loyal
cus_0000060,2025-06-17,India,Mumbai,55+,Android,Google Ads,New
cus_0000061,2025-04-29,United States,Chicago,55+,Android,Google Ads,Occasional
cus_0000062,2025-05-07,United States,New York,25-34,Android,Direct,New
cus_0000063,2025-10-10,India,Delhi,35-44,Android,Google Ads,Loyal
cus_0000064,2025-11-16,United States,New York,25-34,iOS,Google Ads,Loyal
cus_0000065,2025-07-12,Germany,Berlin,45-54,Android,Google Ads,New
cus_0000066,2025-10-15,United States,Austin,18-24,Android,Organic Search,Occasional
cus_0000067,2025-11-13,India,Mumbai,18-24,iOS,Direct,Loyal
cus_0000068,2025-04-28,United Kingdom,London,25-34,Desktop,Email,Occasional
cus_0000069,2025-12-13,United States,San Francisco,45-54,Android,Referral,Loyal
cus_0000070,2025-08-15,United States,Austin,35-44,Android,Direct,New
cus_0000071,2025-06-12,United States,San Francisco,55+,Android,Direct,New
cus_0000072,2025-08-12,United States,Austin,25-34,Desktop,Google Ads,Occasional
cus_0000073,2025-08-06,United Kingdom,Bristol,25-34,Android,Organic Search,Occasional
cus_0000074,2026-01-03,United Kingdom,Manchester,18-24,Android,Meta Ads,New
cus_0000075,2025-04-29,India,Mumbai,25-34,Android,Email,Occasional
cus_0000076,2025-08-13,United States,Chicago,18-24,Android,Meta Ads,Occasional
cus_0000077,2025-12-14,Germany,Munich,25-34,Android,Organic Search,New
cus_0000078,2025-04-20,India,Mumbai,35-44,Android,Email,Occasional
cus_0000079,2025-05-07,United States,Austin,45-54,iOS,Meta Ads,Occasional
cus_0000080,2025-11-30,United States,San Francisco,18-24,Android,Meta Ads,Occasional
cus_0000081,2025-06-08,India,Mumbai,45-54,iOS,Email,New
cus_0000082,2025-09-03,India,Delhi,55+,Android,Google Ads,Loyal
cus_0000083,2025-04-07,India,Bengaluru,25-34,Android,Email,Loyal
cus_0000084,2025-04-12,United Kingdom,London,45-54,Android,Meta Ads,Loyal
cus_0000085,2025-11-19,India,Hyderabad,55+,Android,Email,Loyal
cus_0000086,2025-05-16,India,Bengaluru,25-34,Desktop,Referral,High Value
cus_0000087,2025-09-10,United States,Chicago,25-34,iOS,Referral,Occasional
cus_0000088,2025-12-20,United States,Chicago,25-34,Desktop,Direct,New
cus_0000089,2025-11-30,United States,New York,25-34,Android,Organic Search,Loyal
cus_0000090,2025-08-08,Singapore,Singapore,18-24,Desktop,Organic Search,New
cus_0000091,2025-05-05,United States,New York,18-24,Desktop,Meta Ads,Loyal
cus_0000092,2025-07-29,United States,San Francisco,25-34,Android,Google Ads,New
cus_0000093,2025-12-16,United States,Austin,25-34,iOS,Meta Ads,New
cus_0000094,2025-10-16,India,Mumbai,18-24,iOS,Meta Ads,Occasional
cus_0000095,2025-09-12,India,Delhi,18-24,Android,Organic Search,Loyal
cus_0000096,2026-01-10,India,Delhi,35-44,Android,Google Ads,Occasional
cus_0000097,2025-08-08,India,Bengaluru,45-54,Desktop,Meta Ads,New
cus_0000098,2025-10-09,India,Mumbai,18-24,Android,Email,Loyal
cus_0000099,2025-07-08,India,Delhi,25-34,Android,Email,New
cus_0000100,2026-01-20,India,Mumbai,25-34,iOS,Google Ads,New
cus_0000101,2025-09-08,Germany,Munich,35-44,Desktop,Meta Ads,New
cus_0000102,2025-12-11,India,Bengaluru,18-24,Android,Organic Search,Occasional
cus_0000103,2025-07-12,United States,Chicago,35-44,Desktop,Organic Search,High Value
cus_0000104,2025-07-20,India,Mumbai,25-34,Android,Organic Search,Occasional
cus_0000105,2025-08-30,Germany,Munich,25-34,Desktop,Google Ads,Loyal
cus_0000106,2025-05-31,United Kingdom,Bristol,25-34,iOS,Meta Ads,New
cus_0000107,2025-12-23,United States,Chicago,25-34,Android,Organic Search,Loyal
cus_0000108,2025-12-24,India,Mumbai,35-44,Android,Direct,Loyal
cus_0000109,2025-06-08,Singapore,Singapore,55+,Android,Direct,Occasional
cus_0000110,2025-09-30,India,Bengaluru,35-44,Android,Direct,New
cus_0000111,2025-04-16,United States,San Francisco,55+,Desktop,Organic Search,Loyal
cus_0000112,2025-05-30,India,Bengaluru,45-54,Desktop,Referral,New
cus_0000113,2025-08-05,United Kingdom,Manchester,35-44,iOS,Organic Search,High Value
cus_0000114,2025-05-04,United States,Austin,25-34,Desktop,Google Ads,Loyal
cus_0000115,2025-07-19,India,Delhi,25-34,Android,Google Ads,New
cus_0000116,2025-09-05,India,Delhi,25-34,iOS,Organic Search,New
cus_0000117,2025-12-20,India,Bengaluru,25-34,iOS,Meta Ads,Occasional
cus_0000118,2025-08-30,United States,New York,25-34,Android,Meta Ads,Occasional
cus_0000119,2025-06-12,India,Mumbai,25-34,Desktop,Organic Search,Occasional
cus_0000120,2025-09-16,United States,San Francisco,25-34,Desktop,Meta Ads,Occasional
cus_0000121,2025-12-04,Germany,Munich,35-44,Android,Email,New
cus_0000122,2025-09-21,India,Hyderabad,45-54,Desktop,Meta Ads,New
cus_0000123,2025-10-19,India,Mumbai,18-24,iOS,Email,Loyal
cus_0000124,2025-07-27,India,Delhi,35-44,Android,Direct,Occasional
cus_0000125,2025-08-12,India,Bengaluru,25-34,iOS,Google Ads,Occasional
cus_0000126,2025-04-25,India,Delhi,25-34,Android,Google Ads,Occasional
cus_0000127,2025-04-19,India,Delhi,25-34,Android,Google Ads,Loyal
cus_0000128,2026-01-01,India,Delhi,55+,iOS,Organic Search,Loyal
cus_0000129,2025-09-09,India,Mumbai,18-24,Android,Organic Search,Loyal
cus_0000130,2025-09-16,Singapore,Singapore,35-44,Desktop,Meta Ads,Loyal
cus_0000131,2026-01-19,United Kingdom,Bristol,18-24,Android,Email,Loyal
cus_0000132,2025-08-18,India,Bengaluru,25-34,iOS,Direct,Loyal
cus_0000133,2025-05-15,Singapore,Singapore,45-54,Android,Meta Ads,Loyal
cus_0000134,2025-11-27,India,Delhi,45-54,iOS,Meta Ads,Loyal
cus_0000135,2025-09-22,India,Delhi,45-54,Android,Direct,Occasional
cus_0000136,2025-12-24,United Kingdom,London,18-24,Android,Email,New
cus_0000137,2026-01-06,Singapore,Singapore,55+,iOS,Email,High Value
cus_0000138,2025-08-28,India,Bengaluru,18-24,Desktop,Organic Search,High Value
cus_0000139,2025-05-15,United States,New York,35-44,Desktop,Email,Occasional
cus_0000140,2025-11-12,United Kingdom,Bristol,45-54,Android,Organic Search,Loyal
cus_0000141,2025-11-21,United States,Chicago,35-44,Android,Google Ads,High Value
cus_0000142,2025-10-11,Germany,Berlin,25-34,iOS,Google Ads,Loyal
cus_0000143,2025-10-04,India,Mumbai,25-34,Android,Organic Search,Occasional
cus_0000144,2025-12-19,India,Hyderabad,25-34,Android,Google Ads,Occasional
cus_0000145,2025-10-07,United Kingdom,London,18-24,iOS,Google Ads,Loyal
cus_0000146,2025-10-26,Germany,Berlin,55+,Android,Referral,New
cus_0000147,2025-12-26,United Kingdom,London,25-34,iOS,Meta Ads,Occasional
cus_0000148,2025-11-03,United States,Austin,35-44,Android,Organic Search,New
cus_0000149,2025-09-17,India,Bengaluru,55+,Desktop,Meta Ads,Occasional
cus_0000150,2025-09-19,United States,San Francisco,55+,Android,Google Ads,New
cus_0000151,2025-09-26,India,Hyderabad,25-34,Desktop,Direct,Occasional
cus_0000152,2025-12-27,India,Mumbai,35-44,Android,Referral,New
cus_0000153,2025-08-22,Germany,Hamburg,18-24,iOS,Organic Search,Loyal
cus_0000154,2026-01-19,Germany,Munich,45-54,Android,Organic Search,New
cus_0000155,2025-04-13,United States,San Francisco,18-24,Android,Email,Occasional
cus_0000156,2025-07-06,India,Delhi,55+,Android,Email,Occasional
cus_0000157,2025-10-19,India,Hyderabad,25-34,Android,Direct,Occasional
cus_0000158,2025-04-26,Germany,Berlin,45-54,Android,Direct,New
cus_0000159,2025-12-29,Singapore,Singapore,45-54,Android,Meta Ads,Loyal
cus_0000160,2026-01-22,India,Delhi,45-54,Android,Email,Loyal
cus_0000161,2025-07-14,India,Bengaluru,45-54,Android,Email,Occasional
cus_0000162,2025-06-12,Germany,Hamburg,45-54,Android,Meta Ads,New
cus_0000163,2025-11-18,United States,Chicago,25-34,Android,Meta Ads,New
cus_0000164,2025-06-09,India,Delhi,35-44,iOS,Direct,New
cus_0000165,2025-12-03,United States,Austin,25-34,iOS,Direct,Occasional
cus_0000166,2025-08-28,United Kingdom,London,35-44,Android,Google Ads,Loyal
cus_0000167,2025-06-07,United Kingdom,Manchester,18-24,Android,Direct,Loyal
cus_0000168,2025-08-21,Singapore,Singapore,25-34,Android,Email,New
cus_0000169,2025-04-24,India,Hyderabad,35-44,iOS,Referral,New
cus_0000170,2026-01-05,India,Delhi,45-54,Desktop,Meta Ads,New
cus_0000171,2025-12-10,India,Delhi,55+,Android,Organic Search,New
cus_0000172,2025-08-21,United States,Austin,55+,Android,Google Ads,Occasional
cus_0000173,2025-09-03,Germany,Munich,18-24,iOS,Google Ads,Loyal
cus_0000174,2025-04-29,India,Bengaluru,25-34,iOS,Email,New
cus_0000175,2025-05-07,Germany,Hamburg,45-54,Android,Google Ads,Occasional
cus_0000176,2025-04-13,India,Mumbai,25-34,Desktop,Organic Search,Occasional
cus_0000177,2026-01-28,Singapore,Singapore,45-54,iOS,Referral,Loyal
cus_0000178,2025-05-30,India,Mumbai,55+,Android,Direct,Occasional
cus_0000179,2025-08-26,India,Delhi,18-24,Android,Google Ads,Occasional
cus_0000180,2025-09-07,United States,San Francisco,35-44,Android,Meta Ads,New
cus_0000181,2025-09-08,Singapore,Singapore,25-34,Desktop,Meta Ads,New
cus_0000182,2025-11-09,India,Delhi,35-44,Android,Direct,New
cus_0000183,2025-11-21,United States,Austin,25-34,Android,Direct,High Value
cus_0000184,2025-06-19,India,Delhi,55+,Desktop,Organic Search,Occasional
cus_0000185,2026-01-10,United States,Chicago,18-24,Android,Meta Ads,Occasional
cus_0000186,2025-05-25,Singapore,Singapore,35-44,Android,Direct,New
cus_0000187,2025-07-26,India,Delhi,25-34,iOS,Meta Ads,New
cus_0000188,2025-07-08,India,Bengaluru,25-34,Android,Google Ads,Occasional
cus_0000189,2025-12-14,India,Delhi,18-24,Android,Organic Search,New
cus_0000190,2025-11-03,India,Delhi,18-24,Android,Google Ads,Occasional
cus_0000191,2025-05-02,Singapore,Singapore,25-34,iOS,Direct,Loyal
cus_0000192,2025-10-13,United States,San Francisco,25-34,Android,Google Ads,Loyal
cus_0000193,2025-08-23,Germany,Berlin,35-44,Android,Organic Search,Occasional
cus_0000194,2025-09-22,United States,San Francisco,55+,Android,Meta Ads,Occasional
cus_0000195,2026-01-19,India,Mumbai,35-44,Desktop,Organic Search,New
cus_0000196,2025-10-04,India,Bengaluru,18-24,iOS,Meta Ads,New
cus_0000197,2025-10-16,India,Mumbai,55+,Desktop,Direct,New
cus_0000198,2025-10-16,Singapore,Singapore,25-34,Android,Email,New
cus_0000199,2026-01-21,India,Hyderabad,35-44,Android,Google Ads,Occasional
cus_0000200,2025-05-04,India,Bengaluru,45-54,Desktop,Meta Ads,Occasional
cus_0000201,2025-06-24,India,Mumbai,55+,Android,Google Ads,Occasional
cus_0000202,2025-08-26,India,Delhi,35-44,Android,Direct,New
cus_0000203,2025-05-30,Germany,Berlin,25-34,Desktop,Organic Search,New
cus_0000204,2026-01-05,India,Mumbai,18-24,Android,Meta Ads,Loyal
cus_0000205,2025-10-17,United States,San Francisco,25-34,iOS,Organic Search,New
cus_0000206,2026-01-22,United States,New York,25-34,iOS,Referral,New
cus_0000207,2025-10-12,United States,Austin,45-54,Desktop,Organic Search,Occasional
cus_0000208,2025-12-21,India,Delhi,55+,Android,Referral,Occasional
cus_0000209,2025-06-28,Germany,Munich,55+,iOS,Email,Occasional
cus_0000210,2025-09-17,Germany,Hamburg,25-34,Android,Direct,Loyal
cus_0000211,2025-05-04,United States,New York,45-54,Android,Organic Search,Loyal
cus_0000212,2025-09-10,India,Delhi,25-34,Desktop,Google Ads,New
cus_0000213,2025-05-26,United States,New York,25-34,iOS,Meta Ads,New
cus_0000214,2025-12-03,India,Bengaluru,25-34,Android,Organic Search,Loyal
cus_0000215,2026-01-11,Germany,Hamburg,25-34,Desktop,Google Ads,New
cus_0000216,2026-01-27,United Kingdom,London,25-34,Android,Meta Ads,Loyal
cus_0000217,2026-01-14,United Kingdom,London,35-44,Android,Direct,Occasional
cus_0000218,2026-01-19,Germany,Berlin,35-44,Android,Direct,Occasional
cus_0000219,2025-05-30,United Kingdom,Manchester,55+,iOS,Organic Search,Loyal
cus_0000220,2026-01-19,Singapore,Singapore,55+,Android,Google Ads,Loyal
cus_0000221,2025-07-07,Singapore,Singapore,25-34,Android,Direct,Occasional
cus_0000222,2025-06-03,India,Hyderabad,18-24,iOS,Meta Ads,Occasional
cus_0000223,2025-12-14,India,Bengaluru,25-34,Android,Google Ads,Loyal
cus_0000224,2025-04-18,Germany,Hamburg,18-24,Desktop,Meta Ads,Occasional
cus_0000225,2025-08-12,India,Mumbai,25-34,iOS,Email,Occasional
cus_0000226,2026-01-07,Germany,Munich,25-34,Android,Organic Search,New
cus_0000227,2025-11-18,United States,Austin,55+,iOS,Direct,Occasional
cus_0000228,2025-10-25,United States,San Francisco,25-34,Android,Meta Ads,New
cus_0000229,2025-12-06,India,Bengaluru,55+,Android,Referral,High Value
cus_0000230,2025-04-26,United Kingdom,Manchester,55+,Desktop,Meta Ads,New
cus_0000231,2025-12-31,Germany,Berlin,35-44,Desktop,Meta Ads,Loyal
cus_0000232,2025-10-28,United States,New York,25-34,Android,Meta Ads,New
cus_0000233,2025-09-06,India,Hyderabad,18-24,Android,Google Ads,Occasional
cus_0000234,2025-10-26,India,Delhi,45-54,Android,Email,New
cus_0000235,2025-09-18,United Kingdom,Manchester,35-44,Android,Organic Search,Loyal
cus_0000236,2025-09-17,United States,New York,35-44,Android,Organic Search,Occasional
cus_0000237,2025-09-18,United States,Austin,45-54,Android,Google Ads,Occasional
cus_0000238,2025-11-08,Singapore,Singapore,45-54,Desktop,Organic Search,Occasional
cus_0000239,2025-04-20,United Kingdom,London,35-44,Android,Meta Ads,New
cus_0000240,2025-06-07,India,Hyderabad,45-54,iOS,Email,Occasional
cus_0000241,2025-04-21,United States,Austin,25-34,Desktop,Direct,New
cus_0000242,2025-05-05,Singapore,Singapore,25-34,iOS,Meta Ads,Loyal
cus_0000243,2026-01-05,United States,Chicago,55+,Android,Direct,New
cus_0000244,2025-05-30,Singapore,Singapore,55+,iOS,Direct,New
cus_0000245,2025-10-16,Singapore,Singapore,25-34,iOS,Google Ads,New
cus_0000246,2026-01-01,India,Hyderabad,45-54,Android,Meta Ads,New
cus_0000247,2025-10-05,India,Bengaluru,25-34,Android,Organic Search,Occasional
cus_0000248,2025-10-19,India,Bengaluru,35-44,Android,Email,New
cus_0000249,2025-09-03,United Kingdom,London,35-44,Android,Direct,Occasional
cus_0000250,2025-10-26,India,Delhi,18-24,Android,Direct,Loyal
cus_0000251,2026-01-30,Singapore,Singapore,45-54,iOS,Organic Search,Occasional
cus_0000252,2025-07-16,India,Delhi,25-34,Android,Google Ads,High Value
cus_0000253,2025-06-15,United States,New York,25-34,iOS,Direct,Occasional
cus_0000254,2025-05-10,United States,Austin,45-54,Android,Email,New
cus_0000255,2025-08-29,United States,Chicago,35-44,Android,Direct,New
cus_0000256,2025-04-08,Germany,Munich,45-54,iOS,Google Ads,New
cus_0000257,2025-05-27,Germany,Munich,25-34,iOS,Google Ads,New
cus_0000258,2025-07-09,United Kingdom,Bristol,35-44,iOS,Referral,New
cus_0000259,2025-04-27,India,Delhi,55+,Desktop,Direct,New
cus_0000260,2025-08-15,United States,Austin,45-54,Desktop,Meta Ads,Loyal
cus_0000261,2025-10-26,United States,New York,25-34,Android,Google Ads,Loyal
cus_0000262,2025-05-04,India,Hyderabad,25-34,Desktop,Organic Search,Loyal
cus_0000263,2025-08-26,United States,Austin,35-44,Desktop,Google Ads,Loyal
cus_0000264,2025-08-12,United States,Chicago,55+,Desktop,Meta Ads,New
cus_0000265,2025-12-20,Singapore,Singapore,55+,Desktop,Direct,New
cus_0000266,2025-08-26,India,Mumbai,35-44,Desktop,Google Ads,Loyal
cus_0000267,2025-11-23,United States,Austin,25-34,Android,Google Ads,Occasional
cus_0000268,2025-05-03,India,Bengaluru,25-34,iOS,Google Ads,Occasional
cus_0000269,2025-12-09,United States,Chicago,55+,iOS,Direct,Occasional
cus_0000270,2025-05-26,Germany,Berlin,25-34,Android,Google Ads,New
cus_0000271,2025-08-07,India,Bengaluru,25-34,Android,Direct,Occasional
cus_0000272,2025-09-07,India,Delhi,35-44,iOS,Direct,Loyal
cus_0000273,2025-08-25,United Kingdom,Manchester,45-54,Android,Referral,Occasional
cus_0000274,2025-12-11,India,Delhi,18-24,Android,Google Ads,High Value
cus_0000275,2025-11-24,Germany,Hamburg,18-24,Android,Meta Ads,Occasional
cus_0000276,2025-10-31,United States,New York,25-34,Android,Organic Search,Loyal
cus_0000277,2025-04-30,Singapore,Singapore,18-24,Android,Referral,New
cus_0000278,2025-10-06,United Kingdom,Bristol,25-34,Android,Meta Ads,Occasional
cus_0000279,2025-08-27,India,Bengaluru,45-54,Android,Google Ads,Occasional
cus_0000280,2025-04-17,Germany,Hamburg,35-44,Desktop,Direct,Occasional
cus_0000281,2025-08-12,India,Delhi,18-24,Android,Referral,New
cus_0000282,2025-09-11,United States,San Francisco,25-34,iOS,Google Ads,Loyal
cus_0000283,2026-01-23,United States,New York,18-24,Android,Direct,Occasional
cus_0000284,2025-09-05,United Kingdom,Bristol,55+,Android,Direct,New
cus_0000285,2025-11-06,India,Mumbai,55+,Desktop,Email,New
cus_0000286,2025-11-01,Germany,Berlin,25-34,iOS,Google Ads,New
cus_0000287,2026-01-09,United States,Chicago,35-44,Android,Organic Search,Loyal
cus_0000288,2025-10-12,United States,Chicago,18-24,Desktop,Direct,New
cus_0000289,2025-10-29,Germany,Hamburg,25-34,iOS,Direct,Loyal
cus_0000290,2025-05-01,United Kingdom,Manchester,35-44,Android,Direct,New
cus_0000291,2025-05-11,India,Mumbai,25-34,iOS,Google Ads,Loyal
cus_0000292,2025-10-10,India,Delhi,25-34,Android,Organic Search,Loyal
cus_0000293,2025-05-23,India,Delhi,55+,iOS,Referral,High Value
cus_0000294,2025-07-29,Germany,Hamburg,25-34,iOS,Direct,Occasional
cus_0000295,2025-04-18,India,Bengaluru,55+,Android,Google Ads,New
cus_0000296,2025-07-28,United States,Chicago,55+,Android,Organic Search,High Value
cus_0000297,2025-10-03,United Kingdom,Manchester,25-34,Desktop,Direct,Occasional
cus_0000298,2025-05-07,Germany,Berlin,35-44,Android,Referral,Occasional
cus_0000299,2025-08-21,United States,San Francisco,18-24,iOS,Organic Search,Loyal
cus_0000300,2025-11-18,India,Delhi,55+,Android,Direct,Occasional
cus_0000301,2025-10-11,India,Bengaluru,25-34,Desktop,Email,Loyal
cus_0000302,2025-12-03,India,Bengaluru,35-44,Android,Google Ads,Occasional
cus_0000303,2025-05-13,India,Hyderabad,35-44,Android,Organic Search,Loyal
cus_0000304,2025-05-09,India,Bengaluru,25-34,Android,Google Ads,Loyal
cus_0000305,2025-06-14,United States,San Francisco,35-44,Desktop,Direct,Loyal
cus_0000306,2026-01-19,India,Bengaluru,18-24,Desktop,Meta Ads,Occasional
cus_0000307,2025-09-28,United States,Austin,25-34,Android,Direct,Occasional
cus_0000308,2025-10-06,Germany,Berlin,25-34,Android,Google Ads,Occasional
cus_0000309,2025-12-01,Singapore,Singapore,45-54,Android,Direct,Occasional
cus_0000310,2025-06-23,India,Mumbai,18-24,iOS,Organic Search,Occasional
cus_0000311,2025-04-27,India,Mumbai,35-44,iOS,Meta Ads,High Value
cus_0000312,2025-11-04,Germany,Munich,45-54,Desktop,Organic Search,New
cus_0000313,2025-04-09,India,Mumbai,25-34,iOS,Meta Ads,Loyal
cus_0000314,2026-01-20,Germany,Munich,55+,iOS,Google Ads,New
cus_0000315,2025-08-12,Singapore,Singapore,55+,Android,Google Ads,Loyal
cus_0000316,2025-09-19,India,Hyderabad,25-34,Android,Email,New
cus_0000317,2025-12-11,United States,Chicago,35-44,Desktop,Google Ads,Loyal
cus_0000318,2025-12-25,Germany,Munich,18-24,Android,Organic Search,Loyal
cus_0000319,2025-10-12,India,Bengaluru,35-44,Android,Direct,New
cus_0000320,2025-06-12,Germany,Hamburg,25-34,Android,Google Ads,Occasional
cus_0000321,2025-07-27,Singapore,Singapore,55+,Desktop,Organic Search,High Value
cus_0000322,2025-08-08,United States,San Francisco,45-54,Android,Referral,Occasional
cus_0000323,2025-11-20,India,Mumbai,35-44,Android,Direct,Loyal
cus_0000324,2025-12-22,India,Bengaluru,18-24,Android,Google Ads,Occasional
cus_0000325,2025-04-17,Singapore,Singapore,35-44,Android,Organic Search,New
cus_0000326,2026-01-24,India,Bengaluru,18-24,Desktop,Organic Search,New
cus_0000327,2025-08-05,India,Hyderabad,55+,Android,Email,Loyal
cus_0000328,2025-10-11,India,Hyderabad,35-44,iOS,Google Ads,New
cus_0000329,2026-01-16,India,Mumbai,18-24,Desktop,Referral,Occasional
cus_0000330,2025-12-27,India,Mumbai,18-24,Android,Organic Search,Loyal
cus_0000331,2025-08-18,India,Mumbai,25-34,Desktop,Referral,Occasional
cus_0000332,2025-08-18,United States,San Francisco,45-54,iOS,Meta Ads,New
cus_0000333,2026-01-28,United States,New York,25-34,Android,Google Ads,Occasional
cus_0000334,2026-01-16,Germany,Hamburg,18-24,Android,Meta Ads,High Value
cus_0000335,2025-11-07,Germany,Berlin,25-34,Desktop,Organic Search,Loyal
cus_0000336,2025-10-07,India,Delhi,45-54,Android,Google Ads,Loyal
cus_0000337,2025-06-15,United States,Chicago,45-54,Android,Referral,Loyal
cus_0000338,2025-11-21,Singapore,Singapore,45-54,Android,Organic Search,Occasional
cus_0000339,2026-01-23,Germany,Munich,25-34,iOS,Meta Ads,New
cus_0000340,2025-04-30,United States,Chicago,25-34,Android,Direct,Occasional
cus_0000341,2025-06-22,United Kingdom,Bristol,35-44,iOS,Meta Ads,Loyal
cus_0000342,2025-05-25,India,Delhi,55+,Android,Google Ads,Loyal
cus_0000343,2025-08-06,United States,Austin,25-34,Android,Organic Search,New
cus_0000344,2026-01-09,India,Bengaluru,35-44,Android,Google Ads,New
cus_0000345,2025-11-03,Germany,Hamburg,25-34,iOS,Referral,New
cus_0000346,2025-10-18,United States,New York,35-44,iOS,Google Ads,New
cus_0000347,2025-12-15,Germany,Berlin,25-34,iOS,Meta Ads,New
cus_0000348,2026-01-20,United States,New York,25-34,Android,Google Ads,Loyal
cus_0000349,2025-09-20,India,Hyderabad,45-54,Android,Google Ads,Loyal
cus_0000350,2025-12-30,India,Hyderabad,45-54,Desktop,Meta Ads,High Value
cus_0000351,2025-08-18,India,Hyderabad,25-34,Android,Organic Search,New
cus_0000352,2026-01-20,Singapore,Singapore,25-34,iOS,Google Ads,New
cus_0000353,2025-05-11,Germany,Hamburg,25-34,Android,Google Ads,Occasional
